expo,table,project,sponsors,link,category,special
1,143,AutoDirector,"Best Use of Rapid Prototyping, sposnored by AddLab, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46792-autodirector,Hardware,
1,192,POLEgar,"Best Use of Rapid Prototyping, sposnored by AddLab, Most Innovative Embedded Application, sponsored by L3 Communications, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46793-polegar,Hardware,
2,1,storyteller,"Best Use of Linode Services, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46794-storyteller,Social Impact / Civic Hacking,
2,2,Blocks of Sugar,"Best Use of Two Sigma Beaker API, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Best Use of Comcast Everyblock API",http://pennapps-xiii.devpost.com/submissions/46796-blocks-of-sugar,Health,
2,3,AnonPay,"Best Financial Hack, sponsored by BlackRock, Best On-Demand Hack, sponsored by Postmates, Best Use of Capital One Nessie API, Best Use of Linode Services, Best Use of MongoDB, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46797-anonpay,Social Impact / Civic Hacking,
2,4,Carroll,,http://pennapps-xiii.devpost.com/submissions/46799-carroll,Design,
2,5,PillPal,"Most Innovative Embedded Application, sponsored by L3 Communications, Best On-Demand Hack, sponsored by Postmates, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46800-pillpal,Design,
2,6,Fitzy,"Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46801-fitzy,Health,
2,7,Audsearch,"Best On-Demand Hack, sponsored by Postmates, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46802-audsearch,Social Impact / Civic Hacking,
2,8,Jarvis,"Best Use of Capital One Nessie API, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, Best Use of Comcast Everyblock API",http://pennapps-xiii.devpost.com/submissions/46804-jarvis,Social Impact / Civic Hacking,
2,9,Delve,,http://pennapps-xiii.devpost.com/submissions/46806-delve,Design,
2,10,Blind Spot,,http://pennapps-xiii.devpost.com/submissions/46807-blind-spot,Social Impact / Civic Hacking,
2,11,DiaBeatIt,"Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46808-diabeatit,Health,
2,12,In(VR)terviews䋢,Best Use of Linode Services,http://pennapps-xiii.devpost.com/submissions/46809-in-vr-terviews,VR/AR,
2,13,Heaps of Fun,,http://pennapps-xiii.devpost.com/submissions/46811-heaps-of-fun,,
2,14,QuoteX,,http://pennapps-xiii.devpost.com/submissions/46812-quotex,,
2,15,OmniTestr,Best Use of Linode Services,http://pennapps-xiii.devpost.com/submissions/46813-omnitestr,,
2,16,RGB Rave Shades (Rev 3.1),,http://pennapps-xiii.devpost.com/submissions/46814-rgb-rave-shades-rev-3-1,Hardware,
2,17,InstaDub,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46815-instadub,VR/AR,
2,18,Restroom Locator,,http://pennapps-xiii.devpost.com/submissions/46816-restroom-locator,Social Impact / Civic Hacking,
2,19,Graphicle,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46818-graphicle,,
2,20,CodeFoundry,"Best Use of MongoDB, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46819-codefoundry,Design,
2,21,Taskify,"Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46820-taskify,Design,
2,22,VR Combat Multiplayer,,http://pennapps-xiii.devpost.com/submissions/46828-vr-combat-multiplayer,VR/AR,
2,23,StrollSafe,"Best Use of Comcast Everyblock API, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46829-strollsafe,Social Impact / Civic Hacking,
2,45,Troo,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46832-troo,Social Impact / Civic Hacking,
2,46,An Arduino Point Counter for Pitch Penny,,http://pennapps-xiii.devpost.com/submissions/46834-an-arduino-point-counter-for-pitch-penny,,
2,47,Total Punialliation,,http://pennapps-xiii.devpost.com/submissions/46840-total-punialliation,Humor,
2,48,Apps-in-Browser.js,,http://pennapps-xiii.devpost.com/submissions/46858-apps-in-browser-js,,
2,49,Landoscope,,http://pennapps-xiii.devpost.com/submissions/46949-landoscope,,
